A-D,E-K,L-O,P-Z
ACI STRUCTURAL JOURNAL,EARTH SURFACE PROCESSES AND LANDFORMS,LANCET PSYCHIATRY,PAKISTAN JOURNAL OF MEDICAL SCIENCES
ACM COMPUTING SURVEYS,EARTH SYSTEM DYNAMICS,LANCET PUBLIC HEALTH,PAKISTAN JOURNAL OF PHARMACEUTICAL SCIENCES
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,EARTH SYSTEM SCIENCE DATA,LANCET REGIONAL HEALTH-WESTERN PACIFIC,PAKISTAN JOURNAL OF ZOOLOGY
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,EAST ASIAN JOURNAL ON APPLIED MATHEMATICS,LANCET RESPIRATORY MEDICINE,PAKISTAN VETERINARY JOURNAL
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,EASTERN MEDITERRANEAN HEALTH JOURNAL,LANCET RHEUMATOLOGY,PALAEOBIODIVERSITY AND PALAEOENVIRONMENTS
ACM TRANSACTIONS ON ALGORITHMS,EATING AND WEIGHT DISORDERS-STUDIES ON ANOREXIA BULIMIA AND OBESITY,LANDBAUFORSCHUNG-JOURNAL OF SUSTAINABLE AND ORGANIC AGRICULTURAL SYSTEMS,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY
ACM TRANSACTIONS ON APPLIED PERCEPTION,EATING DISORDERS,LAND DEGRADATION & DEVELOPMENT,PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,EBIOMEDICINE,LANDSCAPE AND ECOLOGICAL ENGINEERING,PALAEONTOGRAPHICA ABTEILUNG B-PALAEOPHYTOLOGIE PALAEOBOTANY-PALAEOPHYTOLOGY
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,LANDSCAPE AND URBAN PLANNING,PALAEONTOLOGIA ELECTRONICA
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,ECLINICALMEDICINE,LANDSCAPE ECOLOGY,PALAEONTOLOGY
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ECOGRAPHY,LANDSLIDES,PALAEOWORLD
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ECOHEALTH,LANGENBECKS ARCHIVES OF SURGERY,PALAIOS
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ECOHYDROLOGY,LANGMUIR,PALEOBIOLOGY
ACM TRANSACTIONS ON COMPUTING EDUCATION,ECOHYDROLOGY & HYDROBIOLOGY,LANGUAGE AND SPEECH,PALEOCEANOGRAPHY AND PALEOCLIMATOLOGY
ACM TRANSACTIONS ON DATABASE SYSTEMS,ECOLOGICAL APPLICATIONS,LANGUAGE COGNITION AND NEUROSCIENCE,PALEONTOLOGICAL JOURNAL
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ECOLOGICAL CHEMISTRY AND ENGINEERING S-CHEMIA I INZYNIERIA EKOLOGICZNA S,LANGUAGE RESOURCES AND EVALUATION,PALEONTOLOGICAL RESEARCH
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ECOLOGICAL COMPLEXITY,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,PALLIATIVE MEDICINE
ACM TRANSACTIONS ON GRAPHICS,ECOLOGICAL ECONOMICS,LARGE ANIMAL REVIEW,PALYNOLOGY
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ECOLOGICAL ENGINEERING,LARYNGO-RHINO-OTOLOGIE,PALZ
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ECOLOGICAL ENTOMOLOGY,LARYNGOSCOPE,PANCREAS
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,ECOLOGICAL INDICATORS,LARYNGOSCOPE INVESTIGATIVE OTOLARYNGOLOGY,PANCREATOLOGY
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ECOLOGICAL INFORMATICS,LASER AND PARTICLE BEAMS,PANMINERVA MEDICA
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ECOLOGICAL MANAGEMENT & RESTORATION,LASER FOCUS WORLD,PAN-PACIFIC ENTOMOLOGIST
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ECOLOGICAL MODELLING,LASER & PHOTONICS REVIEWS,PAPERS IN PALAEONTOLOGY
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ECOLOGICAL MONOGRAPHS,LASER PHYSICS,PARALLEL COMPUTING
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ECOLOGICAL PROCESSES,LASER PHYSICS LETTERS,PARASITE
ACM TRANSACTIONS ON PRIVACY AND SECURITY,ECOLOGICAL RESEARCH,LASERS IN ENGINEERING,PARASITE IMMUNOLOGY
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ECOLOGICAL RESTORATION,LASERS IN MEDICAL SCIENCE,PARASITES HOSTS AND DISEASES
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ECOLOGY,LASERS IN SURGERY AND MEDICINE,PARASITES & VECTORS
ACM TRANSACTIONS ON SENSOR NETWORKS,ECOLOGY AND EVOLUTION,LATIN AMERICAN APPLIED RESEARCH,PARASITOLOGY
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ECOLOGY AND SOCIETY,LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,PARASITOLOGY INTERNATIONAL
ACM TRANSACTIONS ON STORAGE,ECOLOGY LETTERS,LATIN AMERICAN JOURNAL OF PHARMACY,PARASITOLOGY RESEARCH
ACM TRANSACTIONS ON THE WEB,ECOLOGY OF FOOD AND NUTRITION,LATIN AMERICAN JOURNAL OF SOLIDS AND STRUCTURES,PARKINSONISM & RELATED DISORDERS
ACOUSTICAL PHYSICS,ECOLOGY OF FRESHWATER FISH,LAW PROBABILITY & RISK,PARKINSONS DISEASE
ACOUSTICS AUSTRALIA,ECOMAT,LCGC EUROPE,PARTICLE AND FIBRE TOXICOLOGY
ACS APPLIED ELECTRONIC MATERIALS,ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,LCGC NORTH AMERICA,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION
ACS APPLIED ENERGY MATERIALS,ECONOMETRICA,LEARNING & BEHAVIOR,PARTICULATE SCIENCE AND TECHNOLOGY
ACS APPLIED MATERIALS & INTERFACES,ECONOMETRIC REVIEWS,LEARNING & MEMORY,PARTICUOLOGY
ACS APPLIED NANO MATERIALS,ECONOMETRICS JOURNAL,LEGAL MEDICINE,PATHOBIOLOGY
ACS APPLIED POLYMER MATERIALS,ECONOMETRIC THEORY,LEGUME RESEARCH,PATHOGENS
ACS BIOMATERIALS SCIENCE & ENGINEERING,ECONOMIC BOTANY,LEPROSY REVIEW,PATHOGENS AND DISEASE
ACS CATALYSIS,ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH,LETHAIA,PATHOGENS AND GLOBAL HEALTH
ACS CENTRAL SCIENCE,ECONOMIC GEOLOGY,LETTERS IN APPLIED MICROBIOLOGY,PATHOLOGIE
ACS CHEMICAL BIOLOGY,ECONOMICS & HUMAN BIOLOGY,LETTERS IN DRUG DESIGN & DISCOVERY,PATHOLOGY
ACS CHEMICAL NEUROSCIENCE,ECOSCIENCE,LETTERS IN MATHEMATICAL PHYSICS,PATHOLOGY INTERNATIONAL
ACS EARTH AND SPACE CHEMISTRY,ECOSPHERE,LETTERS IN ORGANIC CHEMISTRY,PATHOLOGY & ONCOLOGY RESEARCH
ACS ENERGY LETTERS,ECOSYSTEM HEALTH AND SUSTAINABILITY,LEUKEMIA,PATHOLOGY RESEARCH AND PRACTICE
ACS INFECTIOUS DISEASES,ECOSYSTEMS,LEUKEMIA & LYMPHOMA,PATIENT EDUCATION AND COUNSELING
ACS MACRO LETTERS,ECOSYSTEM SERVICES,LEUKEMIA RESEARCH,PATIENT-PATIENT CENTERED OUTCOMES RESEARCH
ACS MATERIALS LETTERS,ECOTOXICOLOGY,LEUKOS,PATIENT PREFERENCE AND ADHERENCE
ACS MEDICINAL CHEMISTRY LETTERS,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,LGBT HEALTH,PATTERN ANALYSIS AND APPLICATIONS
ACSMS HEALTH & FITNESS JOURNAL,ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY,LHB-HYDROSCIENCE JOURNAL,PATTERN RECOGNITION
ACS NANO,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,LIBYAN JOURNAL OF MEDICINE,PATTERN RECOGNITION LETTERS
ACS OMEGA,EDUCATION FOR CHEMICAL ENGINEERS,LICHENOLOGIST,PCI JOURNAL
ACS PHOTONICS,EFORT OPEN REVIEWS,LIFE-BASEL,PEDIATRIC ALLERGY AND IMMUNOLOGY
ACS SENSORS,EFSA JOURNAL,LIFE SCIENCE ALLIANCE,PEDIATRIC ALLERGY IMMUNOLOGY AND PULMONOLOGY
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,EGYPTIAN INFORMATICS JOURNAL,LIFE SCIENCES,PEDIATRIC AND DEVELOPMENTAL PATHOLOGY
ACS SYNTHETIC BIOLOGY,EGYPTIAN JOURNAL OF BIOLOGICAL PEST CONTROL,LIFE SCIENCES IN SPACE RESEARCH,PEDIATRIC ANESTHESIA
ACTA ACUSTICA,EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES,LIFESTYLE GENOMICS,PEDIATRIC ANNALS
ACTA ADRIATICA,EJNMMI PHYSICS,LIFETIME DATA ANALYSIS,PEDIATRIC BLOOD & CANCER
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,EJNMMI RESEARCH,LIGHT & ENGINEERING,PEDIATRIC CARDIOLOGY
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,EJSO,LIGHTING RESEARCH & TECHNOLOGY,PEDIATRIC CLINICS OF NORTH AMERICA
ACTA ALIMENTARIA,EKSPLOATACJA I NIEZAWODNOSC-MAINTENANCE AND RELIABILITY,LIGHT-SCIENCE & APPLICATIONS,PEDIATRIC CRITICAL CARE MEDICINE
ACTA AMAZONICA,ELECTRICAL ENGINEERING,LIMNETICA,PEDIATRIC DENTISTRY
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ELECTRICAL ENGINEERING IN JAPAN,LIMNOLOGICA,PEDIATRIC DERMATOLOGY
ACTA APPLICANDAE MATHEMATICAE,ELECTRIC POWER COMPONENTS AND SYSTEMS,LIMNOLOGY,PEDIATRIC DIABETES
ACTA ARITHMETICA,ELECTRIC POWER SYSTEMS RESEARCH,LIMNOLOGY AND OCEANOGRAPHY,PEDIATRIC DRUGS
ACTA ASTRONAUTICA,ELECTROANALYSIS,LIMNOLOGY AND OCEANOGRAPHY LETTERS,PEDIATRIC EMERGENCY CARE
ACTA ASTRONOMICA,ELECTROCATALYSIS,LIMNOLOGY AND OCEANOGRAPHY-METHODS,PEDIATRIC EXERCISE SCIENCE
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ELECTROCHEMICAL ENERGY REVIEWS,LINEAR ALGEBRA AND ITS APPLICATIONS,PEDIATRIC HEMATOLOGY AND ONCOLOGY
ACTA BIOCHIMICA POLONICA,ELECTROCHEMISTRY,LINEAR & MULTILINEAR ALGEBRA,PEDIATRIC INFECTIOUS DISEASE JOURNAL
ACTA BIOETHICA,ELECTROCHEMISTRY COMMUNICATIONS,LIPIDS,PEDIATRIC NEPHROLOGY
ACTA BIOLOGICA COLOMBIANA,ELECTROCHIMICA ACTA,LIPIDS IN HEALTH AND DISEASE,PEDIATRIC NEUROLOGY
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ELECTROMAGNETIC BIOLOGY AND MEDICINE,LIQUID CRYSTALS,PEDIATRIC NEUROSURGERY
ACTA BIOMATERIALIA,ELECTROMAGNETICS,LIQUID CRYSTALS REVIEWS,PEDIATRIC OBESITY
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,LISTY CUKROVARNICKE A REPARSKE,PEDIATRIC PHYSICAL THERAPY
ACTA BIOTHEORETICA,ELECTRONIC COMMUNICATIONS IN PROBABILITY,LITHOLOGY AND MINERAL RESOURCES,PEDIATRIC PULMONOLOGY
ACTA BOTANICA BRASILICA,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,LITHOS,PEDIATRIC RADIOLOGY
ACTA BOTANICA CROATICA,ELECTRONIC JOURNAL OF COMBINATORICS,LITHOSPHERE,PEDIATRIC RESEARCH
ACTA BOTANICA MEXICANA,ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS,LITHUANIAN JOURNAL OF PHYSICS,PEDIATRIC RHEUMATOLOGY
ACTA CARDIOLOGICA,ELECTRONIC JOURNAL OF LINEAR ALGEBRA,LITHUANIAN MATHEMATICAL JOURNAL,PEDIATRICS
ACTA CARDIOLOGICA SINICA,ELECTRONIC JOURNAL OF PROBABILITY,LIVER CANCER,PEDIATRICS AND NEONATOLOGY
ACTA CARSOLOGICA,ELECTRONIC JOURNAL OF QUALITATIVE THEORY OF DIFFERENTIAL EQUATIONS,LIVER INTERNATIONAL,PEDIATRICS INTERNATIONAL
ACTA CHIMICA SINICA,ELECTRONIC JOURNAL OF STATISTICS,LIVER TRANSPLANTATION,PEDIATRIC SURGERY INTERNATIONAL
ACTA CHIMICA SLOVENICA,ELECTRONIC MATERIALS LETTERS,LIVESTOCK SCIENCE,PEDIATRIC TRANSPLANTATION
ACTA CHIROPTEROLOGICA,ELECTRONIC RESEARCH ARCHIVE,LIVING REVIEWS IN RELATIVITY,PEDOBIOLOGIA
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,ELECTRONICS,LIVING REVIEWS IN SOLAR PHYSICS,PEDOSPHERE
ACTA CHIRURGICA BELGICA,ELECTRONICS AND COMMUNICATIONS IN JAPAN,LOGICAL METHODS IN COMPUTER SCIENCE,PEERJ
ACTA CHROMATOGRAPHICA,ELECTRONICS LETTERS,LOGICA UNIVERSALIS,PEERJ COMPUTER SCIENCE
ACTA CIRURGICA BRASILEIRA,ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS,LOGIC JOURNAL OF THE IGPL,PEER-TO-PEER NETWORKING AND APPLICATIONS
ACTA CLINICA BELGICA,ELECTROPHORESIS,LOGOPEDICS PHONIATRICS VOCOLOGY,PEOPLE AND NATURE
ACTA CLINICA CROATICA,ELEKTRONIKA IR ELEKTROTECHNIKA,LOW TEMPERATURE PHYSICS,PEPTIDES
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,LUBRICANTS,PEPTIDE SCIENCE
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,ELEMENTS,LUBRICATION SCIENCE,PERCEPTION
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ELIFE,LUMINESCENCE,PERFORMANCE EVALUATION
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,EMBO JOURNAL,LUNG,PERFUSION-UK
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,EMBO MOLECULAR MEDICINE,LUNG CANCER,PERIODICA MATHEMATICA HUNGARICA
ACTA CYTOLOGICA,EMBO REPORTS,LUPUS,PERIODICA POLYTECHNICA-CHEMICAL ENGINEERING
ACTA DERMATO-VENEREOLOGICA,EMERGENCIAS,LUPUS SCIENCE & MEDICINE,PERIODICA POLYTECHNICA-CIVIL ENGINEERING
ACTA DERMATOVENEROLOGICA CROATICA,EMERGENCY MEDICINE AUSTRALASIA,LUTS-LOWER URINARY TRACT SYMPTOMS,PERIODICO DI MINERALOGIA
ACTA DIABETOLOGICA,EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,LWT-FOOD SCIENCE AND TECHNOLOGY,PERIODICUM BIOLOGORUM
ACTA ENDOCRINOLOGICA-BUCHAREST,EMERGENCY MEDICINE INTERNATIONAL,LYMPHATIC RESEARCH AND BIOLOGY,PERIODONTOLOGY 2000
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,EMERGENCY MEDICINE JOURNAL,LYMPHOLOGY,PERIOPERATIVE MEDICINE
ACTA ETHOLOGICA,EMERGING INFECTIOUS DISEASES,MABS,PERITONEAL DIALYSIS INTERNATIONAL
ACTA GASTRO-ENTEROLOGICA BELGICA,EMERGING MATERIALS RESEARCH,MACEDONIAN JOURNAL OF CHEMISTRY AND CHEMICAL ENGINEERING,PERMAFROST AND PERIGLACIAL PROCESSES
ACTA GEODAETICA ET GEOPHYSICA,EMERGING MICROBES & INFECTIONS,MACHINE LEARNING,PERSONALIZED MEDICINE
ACTA GEODYNAMICA ET GEOMATERIALIA,EMIRATES JOURNAL OF FOOD AND AGRICULTURE,MACHINE LEARNING-SCIENCE AND TECHNOLOGY,PERSOONIA
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,EMPIRICAL SOFTWARE ENGINEERING,MACHINES,PERSPECTIVES IN BIOLOGY AND MEDICINE
ACTA GEOLOGICA POLONICA,EMU-AUSTRAL ORNITHOLOGY,MACHINE VISION AND APPLICATIONS,PERSPECTIVES IN ECOLOGY AND CONSERVATION
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ENCEPHALE-REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE,MACHINING SCIENCE AND TECHNOLOGY,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS
ACTA GEOPHYSICA,ENDANGERED SPECIES RESEARCH,MACROHETEROCYCLES,PERSPECTIVES IN PSYCHIATRIC CARE
ACTA GEOTECHNICA,ENDEAVOUR,MACROMOLECULAR BIOSCIENCE,PERSPECTIVES ON MEDICAL EDUCATION
ACTA GEOTECHNICA SLOVENICA,ENDOCRINE,MACROMOLECULAR CHEMISTRY AND PHYSICS,PERVASIVE AND MOBILE COMPUTING
ACTA HAEMATOLOGICA,ENDOCRINE CONNECTIONS,MACROMOLECULAR MATERIALS AND ENGINEERING,PESQUISA AGROPECUARIA BRASILEIRA
ACTA HERPETOLOGICA,ENDOCRINE JOURNAL,MACROMOLECULAR RAPID COMMUNICATIONS,PESQUISA VETERINARIA BRASILEIRA
ACTA HISTOCHEMICA,ENDOCRINE METABOLIC & IMMUNE DISORDERS-DRUG TARGETS,MACROMOLECULAR REACTION ENGINEERING,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY
ACTA HISTOCHEMICA ET CYTOCHEMICA,ENDOCRINE PATHOLOGY,MACROMOLECULAR RESEARCH,PEST MANAGEMENT SCIENCE
ACTA ICHTHYOLOGICA ET PISCATORIA,ENDOCRINE PRACTICE,MACROMOLECULAR THEORY AND SIMULATIONS,PETROLEUM CHEMISTRY
ACTA INFORMATICA,ENDOCRINE-RELATED CANCER,MACROMOLECULES,PETROLEUM EXPLORATION AND DEVELOPMENT
ACTA MATERIALIA,ENDOCRINE RESEARCH,MADERAS-CIENCIA Y TECNOLOGIA,PETROLEUM GEOSCIENCE
ACTA MATHEMATICA,ENDOCRINE REVIEWS,MADERA Y BOSQUES,PETROLEUM SCIENCE
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,ENDOCRINOLOGIA DIABETES Y NUTRICION,MAEJO INTERNATIONAL JOURNAL OF SCIENCE AND TECHNOLOGY,PETROLEUM SCIENCE AND TECHNOLOGY
ACTA MATHEMATICA HUNGARICA,ENDOCRINOLOGY,MAGAZINE OF CONCRETE RESEARCH,PETROLOGY
ACTA MATHEMATICA SCIENTIA,ENDOCRINOLOGY AND METABOLISM,MAGNESIUM RESEARCH,PETROPHYSICS
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,MAGNETIC RESONANCE IMAGING,PFERDEHEILKUNDE
ACTA MECHANICA,ENDOKRYNOLOGIA POLSKA,MAGNETIC RESONANCE IMAGING CLINICS OF NORTH AMERICA,PFG-JOURNAL OF PHOTOGRAMMETRY REMOTE SENSING AND GEOINFORMATION SCIENCE
ACTA MECHANICA SINICA,ENDOSCOPIC ULTRASOUND,MAGNETIC RESONANCE IN CHEMISTRY,PFLEGE
ACTA MECHANICA SOLIDA SINICA,ENDOSCOPY,MAGNETIC RESONANCE IN MEDICAL SCIENCES,PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY
ACTA MEDICA MEDITERRANEA,ENERGIES,MAGNETIC RESONANCE IN MEDICINE,PHARMACEUTICAL BIOLOGY
ACTA MEDICA OKAYAMA,ENERGY,MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE,PHARMACEUTICAL CHEMISTRY JOURNAL
ACTA MEDICA PORTUGUESA,ENERGY AND BUILDINGS,MAGNETOCHEMISTRY,PHARMACEUTICAL DEVELOPMENT AND TECHNOLOGY
ACTA METALLURGICA SINICA,ENERGY CONVERSION AND MANAGEMENT,MAGNETOHYDRODYNAMICS,PHARMACEUTICAL RESEARCH
ACTA METALLURGICA SINICA-ENGLISH LETTERS,ENERGY EFFICIENCY,MAGYAR ALLATORVOSOK LAPJA,PHARMACEUTICALS
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ENERGY & ENVIRONMENTAL MATERIALS,MAIN GROUP CHEMISTRY,PHARMACEUTICAL STATISTICS
ACTA MONTANISTICA SLOVACA,ENERGY & ENVIRONMENTAL SCIENCE,MAIN GROUP METAL CHEMISTRY,PHARMACEUTICS
ACTA NATURAE,ENERGY EXPLORATION & EXPLOITATION,MALACOLOGIA,PHARMACOECONOMICS
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ENERGY FOR SUSTAINABLE DEVELOPMENT,MALARIA JOURNAL,PHARMACOEPIDEMIOLOGY AND DRUG SAFETY
ACTA NEUROCHIRURGICA,ENERGY & FUELS,MALAWI MEDICAL JOURNAL,PHARMACOGENETICS AND GENOMICS
ACTA NEUROLOGICA BELGICA,ENERGY JOURNAL,MALAYSIAN JOURNAL OF COMPUTER SCIENCE,PHARMACOGENOMICS
ACTA NEUROLOGICA SCANDINAVICA,ENERGY POLICY,MALAYSIAN JOURNAL OF PATHOLOGY,PHARMACOGENOMICS JOURNAL
ACTA NEUROPATHOLOGICA,ENERGY REPORTS,MALIMBUS,PHARMACOGENOMICS & PERSONALIZED MEDICINE
ACTA NEUROPATHOLOGICA COMMUNICATIONS,ENERGY SCIENCE & ENGINEERING,MAMMALIA,PHARMACOGNOSY MAGAZINE
ACTA NEUROPSYCHIATRICA,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,MAMMALIAN BIOLOGY,PHARMACOLOGICAL REPORTS
ACTA NUMERICA,ENERGY SOURCES PART B-ECONOMICS PLANNING AND POLICY,MAMMALIAN GENOME,PHARMACOLOGICAL RESEARCH
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ENERGY STORAGE MATERIALS,MAMMAL RESEARCH,PHARMACOLOGICAL REVIEWS
ACTA OCEANOLOGICA SINICA,ENERGY STRATEGY REVIEWS,MAMMAL REVIEW,PHARMACOLOGY
ACTA ODONTOLOGICA SCANDINAVICA,ENERGY SUSTAINABILITY AND SOCIETY,MAMMAL STUDY,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ENERGY TECHNOLOGY,MANAGEMENT OF BIOLOGICAL INVASIONS,PHARMACOLOGY RESEARCH & PERSPECTIVES
ACTA OF BIOENGINEERING AND BIOMECHANICS,ENEURO,MANAGEMENT SCIENCE,PHARMACOLOGY & THERAPEUTICS
ACTA ONCOLOGICA,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,MANUFACTURING ENGINEERING,PHARMACOPSYCHIATRY
ACTA OPHTHALMOLOGICA,ENGENHARIA AGRICOLA,MANUSCRIPTA MATHEMATICA,PHARMACOTHERAPY
